brand,freezer_capacity,number_of_reviews,price,product_description,ratings,total_capacity
Whirlpool,,1,"$1,169.99 ",Whirlpool - 24.6 Cu. Ft. Side-by-Side Refrigerator - Bisquit,4,
Wine,,4,$618.99 ,Wine Enthusiast - 48-Bottle Wine Cooler - Silver,4.3,
GE,,68,"$2,199.99 ",GE - 22.2 Cu. Ft. French Door Counter-Depth Refrigerator - Slate,4.2,
LG,,12,"$2,299.99 ",LG - 27.7 Cu. Ft. French Door-in-Door Smart Wi-Fi Enabled Refrigerator - PrintProof Black Stainless Steel,4.5,
LG,,960,"$2,429.99 ",LG - 24.2 Cu. Ft. French Door Refrigerator with Thru-the-Door Ice and Water - Stainless steel,4.5,
Whirlpool,,3,"$1,599.99 ",Whirlpool - 28.5 Cu. Ft. Side-by-Side Refrigerator - Stainless steel,4.7,
Maytag,,2,"$1,249.99 ",Maytag - 24.5 Cu. Ft. Side-by-Side Refrigerator - White,2.5,
Whirlpool,,54,"$2,199.99 ",Whirlpool - 20 Cu. Ft. French Door Counter-Depth Refrigerator - Black stainless steel,4.5,
KitchenAid,,8,,KitchenAid - 29.5 Cu. Ft. Side-by-Side Built-In Refrigerator - Stainless steel,4.8,
Café,,NA,"$3,509.99 ",Café - 27.6 Cu. Ft. 4-Door French Door Refrigerator - Brushed Stainless,,
Whirlpool,,13,"$1,529.99 ",Whirlpool - 19.7 Cu. Ft. French Door Refrigerator - Stainless steel,4.4,
Whirlpool,,"1,276",$879.99 ,Whirlpool - 19.1 Cu. Ft. Top-Freezer Refrigerator - Fingerprint Resistant Metallic Steel,4.5,
Thermador,,NA,"$7,199.00 ",Thermador - Freedom 16 Cu. Ft. Bottom-Freezer Built-In Refrigerator,,
Hotpoint,,1,$574.99 ,Hotpoint - 14.6 Cu. Ft. Top-Freezer Refrigerator - Black,5,
Hotpoint,,1,$574.99 ,Hotpoint - 14.6 Cu. Ft. Top-Freezer Refrigerator - White,5,
LG,,353,"$3,329.99 ",LG - 22.7 Cu. Ft. Counter-Depth 4-Door French Door Refrigerator with Thru-the-Door Ice and Water - Stainless steel,4.4,
LG,,260,"$1,699.99 ",LG - 21.8 Cu. Ft. French Door Refrigerator - Stainless steel,4.6,
GE,,64,"$2,529.99 ",GE - Profile Series 27.8 Cu. Ft. French Door Refrigerator - Slate,4.3,
LG,,3,"$3,014.99 ",LG - 21.9 Cu. Ft. French Door-in-Door Counter-Depth Refrigerator - PrintProof Black Stainless Steel,4.7,
GE,,51,"$1,999.99 ",GE - 17.5 Cu. Ft. French Door Counter-Depth Refrigerator - Slate,3.8,
Amana,,2,$879.99 ,Amana - 18 Cu. Ft. Top-Freezer Refrigerator - Silver,5,
Whirlpool,,73,"$1,249.99 ",Whirlpool - 24.5 Cu. Ft. Side-by-Side Refrigerator - Black,4,
GE,,1,"$2,899.99 ",GE - Café 27.8 Cu. Ft. French Door Refrigerator with Hot Water Dispenser - Stainless steel,5,
Bosch,,NA,"$3,199.00 ",Bosch - 800 Series 21 Cu. Ft. French Door Counter-Depth Refrigerator - Black stainless steel,,
